vehicle_id,timestamp,speed,speed_level,acceleration,driving_mode,driving_mode_label,traffic_level,traffic_level_label,temperature_c,uae_heat_band,battery_state_pct,distance_travelled_km,energy_consumption_kwh,km_per_kwh
1102,2024-01-01 00:00:00,111.50736643582246,Highway,-2.7738156574639765,2,Comfort,1,No Traffic,0.741770214307623,Mild,30.41514793606419,20.75750842882099,12.054316837893046,1.722
1435,2024-01-01 00:01:00,48.61232334330797,Local,-0.7969822458298639,1,Eco,1,No Traffic,-3.4955161540777215,Mild,97.3855337784473,0.6429176296592819,4.48870104769729,0.143
1860,2024-01-01 00:02:00,108.73332025589964,Highway,0.2537998537264747,1,Eco,3,High,9.248274673124495,Mild,84.9126002160525,40.84282360003485,11.70137693672586,3.49
1270,2024-01-01 00:03:00,38.57948414974584,Local,-2.1113952082372354,1,Eco,2,Moderate,2.8684089901268166,Mild,28.777904099769607,5.305228735924097,7.389265564508191,0.718
1106,2024-01-01 00:04:00,57.17243836125499,City,1.477882875414461,2,Comfort,1,No Traffic,16.75024402320902,Mild,29.740159811814273,5.825925674399545,6.761205202007953,0.862
1071,2024-01-01 00:05:00,27.123479737919965,Local,-2.949871774967169,1,Eco,1,No Traffic,1.6298736724197376,Mild,67.55790839300951,2.510091060779996,4.31906050402437,0.581
1700,2024-01-01 00:06:00,76.85712506110127,City,-1.988405709395779,3,Sport,2,Moderate,1.2067481426024085,Mild,47.591133933854664,10.101039527342744,9.28572513709307,1.088
1020,2024-01-01 00:07:00,117.47773382097706,Highway,0.4847809791208544,1,Eco,3,High,34.464054284673225,Warm,22.792468725848742,8.923132449569461,10.154375379907354,0.879
1614,2024-01-01 00:08:00,72.41917152520544,City,1.2863253722237538,1,Eco,1,No Traffic,36.4582615596884,Warm,63.33132062664425,17.458505220815894,8.734982030592302,1.999
1121,2024-01-01 00:09:00,42.93769009362586,Local,2.499858616163497,1,Eco,2,Moderate,38.38972938645595,Warm,51.02760797486775,32.997592673126384,9.139607590819022,3.61
1466,2024-01-01 00:10:00,77.73809351886341,City,1.2329799116077431,3,Sport,2,Moderate,25.622609929326035,Mild,28.086119389739412,2.809281958661103,9.3552963469904,0.3
1214,2024-01-01 00:11:00,14.750481415846508,Local,1.0306756215291957,1,Eco,3,High,29.69574271581412,Warm,84.15363138047861,43.02776043272184,6.935742891556282,6.204
1330,2024-01-01 00:12:00,106.63908963184784,Highway,-0.6339531218960142,1,Eco,2,Moderate,32.61031398591831,Warm,93.20614122230448,16.39627290629214,9.893371837354756,1.657
1458,2024-01-01 00:13:00,60.37007409358037,City,-2.9922934468391915,2,Comfort,3,High,24.651492660429906,Mild,80.5275147211304,30.369705820489063,8.731184312327246,3.478
1087,2024-01-01 00:14:00,53.92196904475705,City,-2.2790444475862683,2,Comfort,2,Moderate,9.860939711613812,Mild,85.79378480130218,0.6990550993166389,7.207605094790329,0.097
1372,2024-01-01 00:15:00,70.30377461442231,City,0.2073272685362348,1,Eco,1,No Traffic,2.037414929508585,Mild,37.31924538128939,18.353814961911517,7.948397965703622,2.309
1099,2024-01-01 00:16:00,74.97406353472829,City,1.050779315066518,2,Comfort,3,High,5.677298822116754,Mild,41.08583607348808,0.2023405040778794,8.19924324438179,0.025
1871,2024-01-01 00:17:00,8.613096747181563,Local,-0.4953102966212253,1,Eco,2,Moderate,32.81863231322332,Warm,36.68220322393502,8.35636785150311,4.3719906939719575,1.911
1663,2024-01-01 00:18:00,81.91406654680829,Highway,1.3840740691703417,1,Eco,1,No Traffic,26.324375722907856,Mild,81.20507450924512,22.447736480518792,8.607421884772135,2.608
1130,2024-01-01 00:19:00,29.031801637863552,Local,0.1311737719930725,3,Sport,2,Moderate,15.51080935867682,Mild,95.83336631475976,26.800862355292516,7.185772096022532,3.73
1661,2024-01-01 00:20:00,85.67431590079077,Highway,-2.554942826434127,1,Eco,1,No Traffic,-3.676771526879628,Mild,77.34697653871221,7.731137126095147,8.010846035355843,0.965
